source,target,formula
CALCULO DE BOMBA!C11,TABLA DE ACCESORIOS SUCCION!I40,='TABLA DE ACCESORIOS SUCCION'!I40
CALCULO DE BOMBA!C11,CALCULO DE BOMBA!I40,='TABLA DE ACCESORIOS SUCCION'!I40
CALCULO DE BOMBA!E11,CALCULO DE BOMBA!A32,"=VLOOKUP(A32,gravedadespecifica,5,FALSE)"
CALCULO DE BOMBA!C13,CALCULO DE BOMBA!V19,='CAIDA PRESION DE TUBERIA'!V19
CALCULO DE BOMBA!C13,CAIDA PRESION DE TUBERIA!V19,='CAIDA PRESION DE TUBERIA'!V19
CALCULO DE BOMBA!C14,CALCULO DE BOMBA!C13,=C12*C13
CALCULO DE BOMBA!C14,CALCULO DE BOMBA!C12,=C12*C13
CALCULO DE BOMBA!E14,CALCULO DE BOMBA!E8,=((C8+E8)*(2.31/E11))+C9-C11-C14-E9
CALCULO DE BOMBA!E14,CALCULO DE BOMBA!E9,=((C8+E8)*(2.31/E11))+C9-C11-C14-E9
CALCULO DE BOMBA!E14,CALCULO DE BOMBA!E11,=((C8+E8)*(2.31/E11))+C9-C11-C14-E9
CALCULO DE BOMBA!E14,CALCULO DE BOMBA!C8,=((C8+E8)*(2.31/E11))+C9-C11-C14-E9
CALCULO DE BOMBA!E14,CALCULO DE BOMBA!C9,=((C8+E8)*(2.31/E11))+C9-C11-C14-E9
CALCULO DE BOMBA!E14,CALCULO DE BOMBA!C11,=((C8+E8)*(2.31/E11))+C9-C11-C14-E9
CALCULO DE BOMBA!E14,CALCULO DE BOMBA!C14,=((C8+E8)*(2.31/E11))+C9-C11-C14-E9
CALCULO DE BOMBA!E20,CALCULO DE BOMBA!C28,=(E4*C28*E11)/3960
CALCULO DE BOMBA!E20,CALCULO DE BOMBA!E11,=(E4*C28*E11)/3960
CALCULO DE BOMBA!E20,CALCULO DE BOMBA!E4,=(E4*C28*E11)/3960
CALCULO DE BOMBA!C21,CALCULO DE BOMBA!C9,=C20-C9
CALCULO DE BOMBA!C21,CALCULO DE BOMBA!C20,=C20-C9
CALCULO DE BOMBA!E21,CALCULO DE BOMBA!C22,=E20/C22
CALCULO DE BOMBA!E21,CALCULO DE BOMBA!E20,=E20/C22
CALCULO DE BOMBA!E22,CALCULO DE BOMBA!E21,=E21*0.7456
CALCULO DE BOMBA!E23,CALCULO DE BOMBA!E21,=(E21*5252)/1700
CALCULO DE BOMBA!C24,TABLA DE ACCESORIOS DESCARGA!I41,='TABLA DE ACCESORIOS DESCARGA'!I41
CALCULO DE BOMBA!C24,CALCULO DE BOMBA!I41,='TABLA DE ACCESORIOS DESCARGA'!I41
CALCULO DE BOMBA!E24,CALCULO DE BOMBA!C28,=C28*0.3048
CALCULO DE BOMBA!C25,RAMALES!F18,=RAMALES!F18
CALCULO DE BOMBA!C25,CALCULO DE BOMBA!F18,=RAMALES!F18
CALCULO DE BOMBA!E25,CALCULO DE BOMBA!E4,=E4*3.7854
CALCULO DE BOMBA!C26,CALCULO DE BOMBA!F19,=RAMALES!F19
CALCULO DE BOMBA!C26,RAMALES!F19,=RAMALES!F19
CALCULO DE BOMBA!E27,CALCULO DE BOMBA!C29,=(C29*(E4^0.5))/(E24^0.75)
CALCULO DE BOMBA!E27,CALCULO DE BOMBA!E24,=(C29*(E4^0.5))/(E24^0.75)
CALCULO DE BOMBA!E27,CALCULO DE BOMBA!E4,=(C29*(E4^0.5))/(E24^0.75)
CALCULO DE BOMBA!C28,CALCULO DE BOMBA!C21,=C11+C14+C21+C24+C26
CALCULO DE BOMBA!C28,CALCULO DE BOMBA!C24,=C11+C14+C21+C24+C26
CALCULO DE BOMBA!C28,CALCULO DE BOMBA!C11,=C11+C14+C21+C24+C26
CALCULO DE BOMBA!C28,CALCULO DE BOMBA!C14,=C11+C14+C21+C24+C26
CALCULO DE BOMBA!C28,CALCULO DE BOMBA!C26,=C11+C14+C21+C24+C26
CALCULO DE BOMBA!E29,CALCULO DE BOMBA!A34,"=VLOOKUP(A34,TIPOIMPULSOR,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!D7,TABLA DE ACCESORIOS DESCARGA!K3,"=VLOOKUP(K3,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G7,TABLA DE ACCESORIOS DESCARGA!K3,"=VLOOKUP(K3,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I7,TABLA DE ACCESORIOS DESCARGA!D7,=((D7*F7)*($H$2^2)/(32.4*2))*H7
TABLA DE ACCESORIOS DESCARGA!I7,TABLA DE ACCESORIOS DESCARGA!H$2,=((D7*F7)*($H$2^2)/(32.4*2))*H7
TABLA DE ACCESORIOS DESCARGA!I7,TABLA DE ACCESORIOS DESCARGA!H7,=((D7*F7)*($H$2^2)/(32.4*2))*H7
TABLA DE ACCESORIOS DESCARGA!I7,TABLA DE ACCESORIOS DESCARGA!F7,=((D7*F7)*($H$2^2)/(32.4*2))*H7
TABLA DE ACCESORIOS DESCARGA!D8,TABLA DE ACCESORIOS DESCARGA!K4,"=VLOOKUP(K4,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G8,TABLA DE ACCESORIOS DESCARGA!K$4,"=VLOOKUP($K$4,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I8,TABLA DE ACCESORIOS DESCARGA!F8,=((D8*F8)*($H$2^2)/(32.4*2))*H8
TABLA DE ACCESORIOS DESCARGA!I8,TABLA DE ACCESORIOS DESCARGA!H8,=((D8*F8)*($H$2^2)/(32.4*2))*H8
TABLA DE ACCESORIOS DESCARGA!I8,TABLA DE ACCESORIOS DESCARGA!H$2,=((D8*F8)*($H$2^2)/(32.4*2))*H8
TABLA DE ACCESORIOS DESCARGA!I8,TABLA DE ACCESORIOS DESCARGA!D8,=((D8*F8)*($H$2^2)/(32.4*2))*H8
TABLA DE ACCESORIOS DESCARGA!D9,TABLA DE ACCESORIOS DESCARGA!K5,"=VLOOKUP(K5,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G9,TABLA DE ACCESORIOS DESCARGA!K5,"=VLOOKUP(K5,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I9,TABLA DE ACCESORIOS DESCARGA!D9,=((D9*F9)*($H$2^2)/(32.4*2))*H9
TABLA DE ACCESORIOS DESCARGA!I9,TABLA DE ACCESORIOS DESCARGA!F9,=((D9*F9)*($H$2^2)/(32.4*2))*H9
TABLA DE ACCESORIOS DESCARGA!I9,TABLA DE ACCESORIOS DESCARGA!H9,=((D9*F9)*($H$2^2)/(32.4*2))*H9
