cell,before,after,changed
CAIDA PRESION DE TUBERIA!G5,770.5,770.5,False
CAIDA PRESION DE TUBERIA!V5,770.5,770.5,False
CAIDA PRESION DE TUBERIA!G8,6.048364477182011,6.048364477182011,False
CAIDA PRESION DE TUBERIA!V8,10.041761045944389,10.041761045944389,False
CAIDA PRESION DE TUBERIA!G11,768552.5213911285,768552.5213911285,False
CAIDA PRESION DE TUBERIA!V11,462915.39382010826,462915.39382010826,False
CAIDA PRESION DE TUBERIA!G19,0.04451507678789271,0.04451507678789271,False
CAIDA PRESION DE TUBERIA!V19,0.0037530338578161656,0.0037530338578161656,False
CALCULO DE BOMBA!C9,1.6404199475065617,1.6404199475065617,False
CALCULO DE BOMBA!C14,0.02610505266548906,0.02610505266548906,False
CALCULO DE BOMBA!E14,33.87938980028249,33.87938980028249,False
CALCULO DE BOMBA!C28,195.55111342538294,195.55111342538294,False
CALCULO DE BOMBA!E20,37.85827581560259,37.85827581560259,False
CALCULO DE BOMBA!E21,52.580938632781375,52.580938632781375,False
CALCULO DE BOMBA!E22,39.2043478446018,39.2043478446018,False
CALCULO DE BOMBA!E23,162.4441704113928,162.4441704113928,False
CALCULO DE BOMBA!E24,59.60397937205672,59.60397937205672,False
CALCULO DE BOMBA!E27,4658.352840595163,4658.352840595163,False
RESUMEN PARA PDF!B13,770.5,770.5,False
RESUMEN PARA PDF!B28,195.55111342538294,195.55111342538294,False
RESUMEN PARA PDF!D28,84.65416165600993,84.65416165600993,False
RESUMEN PARA PDF!G25,33.87938980028249,33.87938980028249,False
RESUMEN PARA PDF!G29,52.580938632781375,52.580938632781375,False
