source_cell,name,value_psi,pressure_unit,pressure_reference,classification,specific_gravity,legacy_head_ft,validated_head_ft,source_sheet,confidence,user_confirmed
U39,PERDIDAS POR TRANSMISOR DE FLUJO,0.36,PSI,DIFFERENTIAL,INSTRUMENT_PRESSURE_DROP,0.995,0.8316,0.834944,TABLA DE ACCESORIOS DESCARGA,HIGH,True
U40,PRESION DE OPERACION DEL EQUIPO,79.77,PSI,UNKNOWN,MINIMUM_REQUIRED_EQUIPMENT_INLET_PRESSURE,0.995,184.2687,185.009664,TABLA DE ACCESORIOS DESCARGA,USER_CONFIRMED_SEMANTICS,True
