side,Re,eps_D,legacy_f,colebrook_f,haaland_f,swamee_jain_f
Suction,463464.30535428226,1.0,0.0001380904618988446,0.01501000007365775,0.014853,0.015074
Discharge,769463.8484915922,0,0.0272,0.01529966112372773,0.015224,0.015411
