scenario,label,tdh_ft,npsha_ft,tdh_surface_to_surface_ft,tdh_flange_to_flange_ft,npsha_from_surface_ft,npsha_from_flange_ft,hydraulic_hp,shaft_hp,shaft_kw,torque_lbft,f_suction,f_discharge,hf_ft_suction,hf_ft_discharge,pipe_loss_suct_ft,pipe_loss_disch_ft,vel_head_suct_ft,vel_head_diff_ft
A,A: Both Legacy (current Excel),196.0900654809591,33.893773026376444,196.0900654809591,6.278542620876552,33.893773026376444,34.04518151809421,37.962615776720604,52.72585524544529,39.31767025652855,76.92116437474407,0.0001380904618988446,0.0272,2.4985340871250465e-05,0.062079776348376976,0.0001737910352049743,2.234871948541571,0.1514084917177665,0.9989625683831135
B,B: Colebrook Suction Only,196.10878223033745,33.87505627699808,196.10878223033745,6.278542620876552,33.87505627699808,34.02646476871585,37.966239299225414,52.730887915590856,39.3214231186561,76.92850648130089,0.01501000007365775,0.0272,0.002715828183647862,0.062079776348376976,0.018890540413563108,2.234871948541571,0.1514084917177665,0.9989625683831135
C,C: Colebrook Discharge Only,195.11228115990323,33.893773026376444,195.11228115990323,6.278542620876552,33.893773026376444,34.04518151809421,37.773318830943666,52.462942820755096,39.12161646143708,76.53760435961271,0.0001380904618988446,0.01529966112372773,2.4985340871250465e-05,0.03491910076349175,0.0001737910352049743,1.257087627485703,0.1514084917177665,0.9989625683831135
D,D: Both Colebrook (Validated),195.13099790928158,33.87505627699808,195.13099790928158,6.278542620876552,33.87505627699808,34.02646476871585,37.776942353448476,52.46797549090066,39.12536932356463,76.54494646616952,0.01501000007365775,0.01529966112372773,0.002715828183647862,0.03491910076349175,0.018890540413563108,1.257087627485703,0.1514084917177665,0.9989625683831135
