term_id,name,type,value,unit,reference,flow_dependency,sg,legacy_ft,validated_ft,confirmed,notes
DISCHARGE_INSTRUMENT_FT_001,"Perdida del transmisor de flujo",INSTRUMENT_PRESSURE_DROP,0.36,psi,DIFFERENTIAL,UNKNOWN,0.995,0.8316,0.834944,True,"U39 - differential pressure drop across flow transmitter"
EQUIPMENT_MINIMUM_INLET_PRESSURE_001,"Presion minima requerida en la entrada del equipo",MINIMUM_REQUIRED_EQUIPMENT_INLET_PRESSURE,79.77,psi,UNKNOWN,FLOW_INDEPENDENT,0.995,184.2687,185.009664,True,"U40 - minimum required equipment inlet pressure"
