scenario,label,f_suction,f_discharge,hf_ft_suction,hf_ft_discharge,pipe_loss_suct_ft,pipe_loss_disch_ft,tdh_ft,npsha_ft,hydraulic_hp,shaft_hp,shaft_kw,torque_lbft
A,A: Both Legacy (current Excel),0.00013825420552894354,0.0272,2.501496775810137e-05,0.06207977634848015,0.00017399711153438086,2.2348719485452855,196.0900856345468,33.90530090795325,37.962619678411926,52.72586066446101,39.31240171142213,162.89189424102898
B,B: Colebrook Suction Only,0.015011909683078615,0.0272,0.0027161736981022658,0.06207977634848015,0.018892943715363892,2.2348719485452855,196.10880458115062,33.886581961349414,37.96624362629487,52.73089392540954,39.31615451078535,162.9074440566182
C,C: Colebrook Discharge Only,0.00013825420552894354,0.015300759872851602,2.501496775810137e-05,0.03492160848780982,0.00017399711153438086,1.2571779055611536,195.11239159156267,33.90530090795325,37.7733402102759,52.46297251427208,39.116392306641266,162.0797244970335
D,D: Both Colebrook (Validated),0.015011909683078615,0.015300759872851602,0.0027161736981022658,0.03492160848780982,0.018892943715363892,1.2571779055611536,195.1311105381665,33.886581961349414,37.77696415815884,52.46800577522061,39.12014510600449,162.09527431262273
