sheet,cell,value,data_type,number_format,is_formula
TABLA DE ACCESORIOS DESCARGA,O11,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R11,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S11,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X11,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y11,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB11,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC11,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF11,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG11,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ11,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B12,2,n,0,False
TABLA DE ACCESORIOS DESCARGA,F12,55,n,0,False
TABLA DE ACCESORIOS DESCARGA,H12,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K12,11,n,General,False
TABLA DE ACCESORIOS DESCARGA,N12,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O12,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R12,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S12,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X12,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y12,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB12,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC12,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF12,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG12,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ12,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B13,3,n,0,False
TABLA DE ACCESORIOS DESCARGA,F13,55,n,0,False
TABLA DE ACCESORIOS DESCARGA,H13,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K13,8,n,General,False
TABLA DE ACCESORIOS DESCARGA,N13,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O13,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R13,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S13,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X13,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y13,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB13,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC13,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF13,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG13,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ13,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B14,4,n,0,False
TABLA DE ACCESORIOS DESCARGA,F14,55,n,0,False
TABLA DE ACCESORIOS DESCARGA,H14,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K14,5,n,General,False
